true,N,fr,pred,correct,d_cvll
step,40,20.0,ramp,0,-1.062745682388936
step,40,20.0,ramp,0,-2.0637723666534384
step,40,20.0,step,1,0.18475089822595692
step,40,20.0,ramp,0,-1.0323551531972157
step,40,20.0,step,1,4.420451624252394
step,40,20.0,ramp,0,-0.19966606650552876
step,40,20.0,step,1,1.1260241166652918
step,40,20.0,step,1,0.7352775924233015
step,40,20.0,step,1,0.3141409268358757
step,40,20.0,step,1,1.6351239030802276
step,40,20.0,step,1,1.1564125504447702
step,40,20.0,step,1,3.643508491222633
step,40,20.0,step,1,2.5808062495095783
step,40,20.0,step,1,2.83913616245934
step,40,20.0,step,1,1.8927354292953282
step,40,20.0,step,1,1.0984638590813347
step,40,20.0,ramp,0,-0.5344834741589466
step,40,20.0,step,1,0.12378109682799732
step,40,20.0,step,1,0.7232248595121291
step,40,20.0,step,1,3.0123028625148436
step,40,20.0,step,1,1.273871580903858
step,40,20.0,step,1,1.0210609464528488
step,40,20.0,step,1,1.468551194792326
step,40,20.0,step,1,2.481441620471287
step,40,20.0,step,1,5.06673804447064
step,40,20.0,step,1,0.3626307120149477
step,40,20.0,ramp,0,-0.9893081768194634
step,40,20.0,ramp,0,-1.9845642540618655
step,40,20.0,ramp,0,-0.07643803385576575
step,40,20.0,ramp,0,-0.8028628910384441
step,40,20.0,ramp,0,-0.062354415351649095
step,40,20.0,step,1,1.9697217635481934
step,40,20.0,step,1,1.7342481900627718
step,40,20.0,ramp,0,-0.8261966957707614
step,40,20.0,step,1,2.5958140331162554
step,40,20.0,ramp,0,-0.8880802255019944
step,40,20.0,step,1,0.3729815641689811
step,40,20.0,step,1,1.48959785199429
step,40,20.0,step,1,0.6859377746386599
step,40,20.0,ramp,0,-0.22227896359959232
step,40,20.0,step,1,1.741612498635277
step,40,20.0,ramp,0,-0.2475471101954554
step,40,20.0,ramp,0,-0.425023352525443
step,40,20.0,step,1,1.1907123650036056
step,40,20.0,ramp,0,-0.4956265133548641
step,40,20.0,step,1,2.000297066853932
step,40,20.0,step,1,0.9450996660332862
step,40,20.0,ramp,0,-0.30063341990233994
step,40,20.0,ramp,0,-1.5842773070212388
step,40,20.0,step,1,1.9726080333037999
step,40,20.0,ramp,0,-1.5664104016657916
step,40,20.0,ramp,0,-1.1723868765068346
step,40,20.0,step,1,0.2413479773604763
step,40,20.0,step,1,2.952357234855242
step,40,20.0,step,1,0.28202991517167675
step,40,20.0,step,1,6.582238929427774
step,40,20.0,ramp,0,-0.7225251608613235
step,40,20.0,step,1,4.404648640851406
step,40,20.0,step,1,3.388598004369328
step,40,20.0,step,1,1.5647861432823333
step,40,40.0,step,1,0.3034906493779772
step,40,40.0,step,1,1.504672797459989
step,40,40.0,step,1,2.670619018191701
step,40,40.0,step,1,1.5405211032430088
step,40,40.0,step,1,1.1754285359597816
step,40,40.0,step,1,0.30032940064074864
step,40,40.0,ramp,0,-0.6471349196739311
step,40,40.0,step,1,6.513743085909709
step,40,40.0,step,1,1.3348153456823866
step,40,40.0,step,1,0.4296584611029175
step,40,40.0,step,1,1.9467723151387872
step,40,40.0,step,1,3.6764855796585607
step,40,40.0,step,1,2.874367103296663
step,40,40.0,step,1,2.824720728012039
step,40,40.0,step,1,5.617761902196548
