cell,auc_before,auc_after,n
15a2a63f-739d-4eb0-ab8f-fc95b6299b68:363,0.37189440993788825,0.5256211180124224,102
15a2a63f-739d-4eb0-ab8f-fc95b6299b68:380,0.5260093167701863,0.5236801242236024,102
15a2a63f-739d-4eb0-ab8f-fc95b6299b68:381,0.484860248447205,0.47282608695652173,102
15a2a63f-739d-4eb0-ab8f-fc95b6299b68:404,0.5320263975155279,0.5962732919254659,102
15a2a63f-739d-4eb0-ab8f-fc95b6299b68:463,0.544836956521739,0.48524844720496896,102
15a2a63f-739d-4eb0-ab8f-fc95b6299b68:474,0.4188664596273292,0.5178571428571429,102
15a2a63f-739d-4eb0-ab8f-fc95b6299b68:494,0.5512422360248448,0.5698757763975155,102
19137f8d-0f3b-4923-93ad-f741758e1b2e:18,0.5134099616858238,0.4725415070242657,56
19137f8d-0f3b-4923-93ad-f741758e1b2e:23,0.30459770114942525,0.5491698595146871,56
19137f8d-0f3b-4923-93ad-f741758e1b2e:28,0.43422733077905495,0.43422733077905495,56
19137f8d-0f3b-4923-93ad-f741758e1b2e:38,0.5440613026819923,0.4265644955300128,56
19137f8d-0f3b-4923-93ad-f741758e1b2e:70,0.425287356321839,0.3844189016602809,56
19137f8d-0f3b-4923-93ad-f741758e1b2e:72,0.4993614303959132,0.5466155810983396,56
19137f8d-0f3b-4923-93ad-f741758e1b2e:78,0.5466155810983397,0.5478927203065135,56
19137f8d-0f3b-4923-93ad-f741758e1b2e:84,0.49042145593869735,0.5108556832694764,56
19137f8d-0f3b-4923-93ad-f741758e1b2e:85,0.5044699872286079,0.5696040868454662,56
19137f8d-0f3b-4923-93ad-f741758e1b2e:89,0.4342273307790549,0.384418901660281,56
27109779-1b15-4d74-893f-08216d231307:314,0.38205980066445183,0.40863787375415284,64
27109779-1b15-4d74-893f-08216d231307:324,0.3554817275747509,0.3277962347729789,64
27109779-1b15-4d74-893f-08216d231307:357,0.4839424141749723,0.5492801771871539,64
27109779-1b15-4d74-893f-08216d231307:382,0.3986710963455149,0.4186046511627907,64
27109779-1b15-4d74-893f-08216d231307:390,0.5603543743078627,0.5526024363233666,64
27109779-1b15-4d74-893f-08216d231307:437,0.46400885935769653,0.5171650055370987,64
