cell,auc_before,auc_after,n
530f1670-9412-44ac-afdb-935d46bcaad3:389,0.6222222222222222,0.5111111111111111,28
530f1670-9412-44ac-afdb-935d46bcaad3:391,0.23888888888888887,0.44999999999999996,28
530f1670-9412-44ac-afdb-935d46bcaad3:394,0.18333333333333335,0.39999999999999997,28
530f1670-9412-44ac-afdb-935d46bcaad3:417,0.7277777777777777,0.6333333333333333,28
530f1670-9412-44ac-afdb-935d46bcaad3:442,0.40555555555555556,0.4444444444444444,28
530f1670-9412-44ac-afdb-935d46bcaad3:525,0.4444444444444444,0.4388888888888889,28
530f1670-9412-44ac-afdb-935d46bcaad3:566,0.5611111111111111,0.43888888888888883,28
530f1670-9412-44ac-afdb-935d46bcaad3:584,0.39166666666666666,0.35555555555555557,28
53ecbf4f-e0d8-4fe6-a852-8b934a37a1c2:455,0.5511664899257689,0.5395015906680806,128
53ecbf4f-e0d8-4fe6-a852-8b934a37a1c2:465,0.4138388123011666,0.4297454931071051,128
53ecbf4f-e0d8-4fe6-a852-8b934a37a1c2:466,0.41542948038176025,0.3947507953340403,128
53ecbf4f-e0d8-4fe6-a852-8b934a37a1c2:479,0.4957582184517497,0.49257688229056196,128
53ecbf4f-e0d8-4fe6-a852-8b934a37a1c2:482,0.571049840933192,0.5734358430540827,128
53ecbf4f-e0d8-4fe6-a852-8b934a37a1c2:487,0.5229321314952281,0.5291622481442205,128
53ecbf4f-e0d8-4fe6-a852-8b934a37a1c2:520,0.6423647932131495,0.647932131495228,128
53ecbf4f-e0d8-4fe6-a852-8b934a37a1c2:528,0.38176033934252385,0.40243902439024387,128
53ecbf4f-e0d8-4fe6-a852-8b934a37a1c2:541,0.49019088016967133,0.485949098621421,128
53ecbf4f-e0d8-4fe6-a852-8b934a37a1c2:546,0.5381760339342523,0.5426829268292683,128
53ecbf4f-e0d8-4fe6-a852-8b934a37a1c2:555,0.7751855779427359,0.7600742311770943,128
53ecbf4f-e0d8-4fe6-a852-8b934a37a1c2:557,0.4994697773064688,0.48117709437963946,128
53ecbf4f-e0d8-4fe6-a852-8b934a37a1c2:562,0.6670201484623541,0.7038706256627784,128
53ecbf4f-e0d8-4fe6-a852-8b934a37a1c2:572,0.5479851537645811,0.5596500530222693,128
53ecbf4f-e0d8-4fe6-a852-8b934a37a1c2:591,0.6145281018027572,0.6458112407211029,128
53ecbf4f-e0d8-4fe6-a852-8b934a37a1c2:594,0.51033934252386,0.5159066808059385,128
53ecbf4f-e0d8-4fe6-a852-8b934a37a1c2:599,0.4256362672322375,0.47057264050901376,128
53ecbf4f-e0d8-4fe6-a852-8b934a37a1c2:600,0.809915164369035,0.8009013785790031,128
53ecbf4f-e0d8-4fe6-a852-8b934a37a1c2:601,0.5275715800636267,0.514050901378579,128
53ecbf4f-e0d8-4fe6-a852-8b934a37a1c2:602,0.6150583244962885,0.6047189819724285,128
53ecbf4f-e0d8-4fe6-a852-8b934a37a1c2:603,0.6317603393425238,0.622746553552492,128
53ecbf4f-e0d8-4fe6-a852-8b934a37a1c2:606,0.707847295864263,0.693796394485684,128
53ecbf4f-e0d8-4fe6-a852-8b934a37a1c2:695,0.5461293743372216,0.5448038176033934,128
53ecbf4f-e0d8-4fe6-a852-8b934a37a1c2:697,0.5312831389183457,0.5153764581124072,128
53ecbf4f-e0d8-4fe6-a852-8b934a37a1c2:702,0.37062566277836695,0.355779427359491,128
53ecbf4f-e0d8-4fe6-a852-8b934a37a1c2:860,0.4817073170731707,0.47189819724284193,128
59b7a543-8827-4157-a4f6-d5d0e50fdf39:102,0.35937499999999994,0.4642857142857143,64
59b7a543-8827-4157-a4f6-d5d0e50fdf39:119,0.3683035714285714,0.38392857142857145,64
59b7a543-8827-4157-a4f6-d5d0e50fdf39:128,0.5513392857142857,0.6160714285714285,64
59b7a543-8827-4157-a4f6-d5d0e50fdf39:137,0.32366071428571425,0.36607142857142855,64
59b7a543-8827-4157-a4f6-d5d0e50fdf39:22,0.6919642857142857,0.6116071428571428,64
59b7a543-8827-4157-a4f6-d5d0e50fdf39:23,0.5915178571428572,0.5915178571428572,64
59b7a543-8827-4157-a4f6-d5d0e50fdf39:24,0.4464285714285714,0.5178571428571429,64
59b7a543-8827-4157-a4f6-d5d0e50fdf39:31,0.5825892857142857,0.5714285714285714,64
59b7a543-8827-4157-a4f6-d5d0e50fdf39:32,0.4575892857142857,0.45535714285714285,64
59b7a543-8827-4157-a4f6-d5d0e50fdf39:39,0.5870535714285714,0.6049107142857142,64
59b7a543-8827-4157-a4f6-d5d0e50fdf39:44,0.8058035714285715,0.7678571428571428,64
59b7a543-8827-4157-a4f6-d5d0e50fdf39:46,0.5870535714285715,0.5558035714285714,64
59b7a543-8827-4157-a4f6-d5d0e50fdf39:47,0.6071428571428571,0.5535714285714286,64
59b7a543-8827-4157-a4f6-d5d0e50fdf39:64,0.7165178571428571,0.6785714285714286,64
59b7a543-8827-4157-a4f6-d5d0e50fdf39:67,0.4709821428571429,0.734375,64
59b7a543-8827-4157-a4f6-d5d0e50fdf39:89,0.6116071428571429,0.6763392857142858,64
7791ee46-5c13-4d1b-8518-5602dcb8666b:614,0.32838951310861425,0.35056179775280893,164
81b1800e-f138-4337-abc9-bb0449b77852:320,0.3271428571428572,0.39428571428571424,53
81b1800e-f138-4337-abc9-bb0449b77852:323,0.5742857142857143,0.5828571428571429,53
81ef1ec7-dbcc-410f-9bff-b21a62a909fd:708,0.5416666666666666,0.5637254901960784,46
