cell,region,fr_window,n,auc_move_none,p_move_none,auc_move_linear,p_move_linear,auc_move_expanded,p_move_expanded,auc_move_pca_expanded,p_move_pca_expanded,dataset
c736dc60-0726-410d-8419-cb6ea025d5b1:925,MRN,13.203407690108955,170,0.48790724142836817,0.7891054472763618,0.513302034428795,0.7631184407796102,0.4980793854033291,0.9695152423788106,0.5070422535211268,0.894552723638181,IBL
c736dc60-0726-410d-8419-cb6ea025d5b1:927,MRN,76.19084665704035,170,0.3395931142410016,0.0004997501249375312,0.3229477877365201,0.0004997501249375312,0.3474178403755869,0.0004997501249375312,0.32607767819035427,0.0004997501249375312,IBL
c736dc60-0726-410d-8419-cb6ea025d5b1:933,MRN,23.880203962922824,170,0.47005263906672357,0.4847576211894053,0.40973111395646605,0.050974512743628186,0.4410300184948072,0.18690654672663667,0.4425949637217243,0.1969015492253873,IBL
c736dc60-0726-410d-8419-cb6ea025d5b1:935,MRN,70.59261412696921,170,0.40973111395646605,0.04597701149425287,0.4118651301749893,0.044977511244377814,0.4191207853179684,0.06846576711644178,0.40375586854460094,0.03248375812093953,IBL
c736dc60-0726-410d-8419-cb6ea025d5b1:953,SCm,20.69312593962726,170,0.600085360648741,0.025987006496751622,0.5719163465642338,0.11294352823588207,0.5040546308151942,0.9305347326336831,0.5868544600938967,0.05147426286856572,IBL
c736dc60-0726-410d-8419-cb6ea025d5b1:962,SCm,19.395399170589247,170,0.49893299189073836,0.9800099950024987,0.4726134585289515,0.5397301349325337,0.4694835680751174,0.49975012493753124,0.49978659837814765,0.9975012493753124,IBL
c736dc60-0726-410d-8419-cb6ea025d5b1:974,SCm,58.33154167400661,170,0.43633518281405603,0.16741629185407297,0.3966424811495234,0.020989505247376312,0.3865414710485133,0.009995002498750625,0.41471048513302033,0.063968015992004,IBL
c893c0a3-5597-49cf-baa1-60efdfdef542:1004,SCm,58.63089224602767,18,0.18518518518518517,0.02148925537231384,0.4074074074074074,0.5067466266866567,0.3333333333333333,0.2368815592203898,0.2222222222222222,0.05697151424287856,IBL
c893c0a3-5597-49cf-baa1-60efdfdef542:1007,SCm,68.04631929309339,18,0.6790123456790124,0.2283858070964518,0.654320987654321,0.2863568215892054,0.6049382716049383,0.49225387306346824,0.691358024691358,0.18640679660169915,IBL
c893c0a3-5597-49cf-baa1-60efdfdef542:1011,SCm,27.39566689346516,18,0.35802469135802467,0.3148425787106447,0.4567901234567901,0.7661169415292354,0.4074074074074074,0.512743628185907,0.35802469135802467,0.30834582708645675,IBL
c893c0a3-5597-49cf-baa1-60efdfdef542:1017,SCm,10.22546937351442,18,0.2839506172839506,0.13093453273363317,0.345679012345679,0.28835582208895555,0.4444444444444444,0.7276361819090454,0.35802469135802467,0.3238380809595202,IBL
c893c0a3-5597-49cf-baa1-60efdfdef542:1037,SCm,54.64587767673262,18,0.5432098765432098,0.7981009495252374,0.5802469135802469,0.6041979010494752,0.5185185185185185,0.9375312343828086,0.49382716049382713,1.0,IBL
c893c0a3-5597-49cf-baa1-60efdfdef542:1038,SCm,10.547758676413086,18,0.37037037037037035,0.3968015992003998,0.4074074074074074,0.526736631684158,0.48148148148148145,0.8940529735132434,0.41975308641975306,0.5827086456771614,IBL
c893c0a3-5597-49cf-baa1-60efdfdef542:1053,SCm,24.784173841451743,18,0.19753086419753085,0.030484757621189407,0.30864197530864196,0.1679160419790105,0.37037037037037035,0.4007996001999001,0.18518518518518517,0.022488755622188907,IBL
c893c0a3-5597-49cf-baa1-60efdfdef542:1057,SCm,21.124258371591893,18,0.32098765432098764,0.1934032983508246,0.3950617283950617,0.5012493753123438,0.4074074074074074,0.5097451274362819,0.2962962962962963,0.15092453773113443,IBL
c893c0a3-5597-49cf-baa1-60efdfdef542:1066,SCm,20.042115105500763,18,0.6790123456790124,0.2128935532233883,0.5679012345679012,0.6806596701649176,0.5679012345679012,0.6421789105447276,0.6790123456790124,0.20389805097451275,IBL
c893c0a3-5597-49cf-baa1-60efdfdef542:749,MRN,30.540780119501,18,0.9135802469135802,0.0029985007496251873,0.8395061728395061,0.01649175412293853,0.7901234567901234,0.0384807596201899,0.9506172839506173,0.0004997501249375312,IBL
c893c0a3-5597-49cf-baa1-60efdfdef542:772,MRN,19.38942589129153,18,0.5432098765432098,0.7906046976511744,0.5308641975308642,0.8695652173913043,0.5555555555555556,0.7331334332833583,0.5925925925925926,0.5187406296851574,IBL
